Player,From,To,Pos,Ht,Wt,DOB,College
DeMarre Carroll,2010,2016,F,6-8,212,July 27  1986,University of Missouri
Vince Carter,1999,2016,G-F,6-6,220,January 26  1977,University of North Carolina
Michael Carter-Williams,2014,2016,G,6-6,190,October 10  1991,Syracuse University
Omri Casspi,2010,2016,F,6-9,225,June 22  1988,
Willie Cauley-Stein,2016,2016,F-C,7-0,240,August 18  1993,University of Kentucky
Mario Chalmers,2009,2016,G,6-2,190,May 19  1986,University of Kansas
Tyson Chandler,2002,2016,C,7-1,240,October 2  1982,
Wilson Chandler,2008,2015,F,6-8,225,May 10  1987,DePaul University
Will Cherry,2015,2015,G,6-0,185,February 8  1991,University of Montana
Josh Childress,2005,2014,G-F,6-8,210,June 20  1983,Stanford University
Dionte Christmas,2014,2014,G,6-5,205,September 15  1986,Temple University
Patrick Christopher,2015,2015,G-F,6-5,209,June 3  1988,University of California
Earl Clark,2010,2015,F,6-10,225,January 17  1988,University of Louisville
Ian Clark,2014,2016,G,6-3,175,March 7  1991,Belmont University
Jordan Clarkson,2015,2016,G,6-5,185,June 7  1992,University of Missouri
Victor Claver,2013,2015,F,6-9,224,August 30  1988,
Norris Cole,2012,2016,G,6-2,175,October 13  1988,Cleveland State University
Darren Collison,2010,2016,G,6-0,175,August 23  1987,University of California  Los Angeles
Nick Collison,2005,2016,F,6-10,255,October 26  1980,University of Kansas
Mike Conley,2008,2016,G,6-1,175,October 11  1987,Ohio State University
Pat Connaughton,2016,2016,G,6-5,206,January 6  1993,University of Notre Dame
Brian Cook,2004,2012,F,6-9,234,December 4  1980,University of Illinois at Urbana-Champaign
Daequan Cook,2008,2013,G,6-5,205,April 28  1987,Ohio State University
Jack Cooley,2015,2015,F,6-9,260,April 4  1991,University of Notre Dame
Chris Copeland,2013,2016,F,6-9,239,March 17  1984,University of Colorado
Bryce Cotton,2015,2016,G,6-1,165,August 11  1992,Providence College
Marcus Cousin,2011,2011,C,6-11,245,December 18  1986,University of Houston
DeMarcus Cousins,2011,2016,C-F,6-11,270,August 13  1990,University of Kentucky
Robert Covington,2014,2016,F,6-9,215,December 14  1990,Tennessee State University
Allen Crabbe,2014,2016,G-F,6-6,210,April 9  1992,University of California
Jamal Crawford,2001,2016,G,6-5,195,March 20  1980,University of Michigan
Jordan Crawford,2011,2014,G,6-4,195,October 23  1988,Xavier University
Jae Crowder,2013,2016,F,6-6,235,July 6  1990,Marquette University
Dante Cunningham,2010,2016,F,6-8,230,April 22  1987,Villanova University
Jared Cunningham,2013,2016,G,6-4,195,May 22  1991,Oregon State University
Seth Curry,2014,2016,G,6-2,185,August 23  1990,Duke University
Stephen Curry,2010,2016,G,6-3,185,March 14  1988,Davidson College
Samuel Dalembert,2002,2015,C,6-11,255,May 10  1981,Seton Hall University
Troy Daniels,2014,2016,G,6-4,205,July 15  1991,Virginia Commonwealth University
Luigi Datome,2014,2015,F,6-8,215,November 27  1987,
Brandon Davies,2014,2015,F,6-10,240,July 25  1991,Brigham Young University
Anthony Davis,2013,2016,F-C,6-10,253,March 11  1993,University of Kentucky
Ed Davis,2011,2016,F,6-10,240,June 5  1989,University of North Carolina
Glen Davis,2008,2015,F,6-9,289,January 1  1986,Louisiana State University
Andre Dawkins,2015,2015,G,6-5,215,September 19  1991,Duke University
Branden Dawson,2016,2016,F,6-6,225,February 1  1993,Michigan State University
Eric Dawson,2012,2012,F,6-9,250,July 7  1984,Midwestern State University
Austin Daye,2010,2015,F,6-11,220,June 5  1988,Gonzaga University
Nando De Colo,2013,2014,G,6-5,200,June 23  1987,
Dewayne Dedmon,2014,2016,C,7-0,245,August 12  1989,University of Southern California
Bryce Dejean-Jones,2016,2016,G,6-6,209,August 21  1992,Iowa State University
Sam Dekker,2016,2016,F,6-9,230,May 6  1994,University of Wisconsin
Carlos Delfino,2005,2013,G,6-6,230,August 29  1982,
Matthew Dellavedova,2014,2016,G,6-4,198,September 8  1990,Saint Mary's College of California
Luol Deng,2005,2016,F,6-9,220,April 16  1985,Duke University
DeMar DeRozan,2010,2016,G,6-7,220,August 7  1989,University of Southern California
Boris Diaw,2004,2016,F-C,6-8,250,April 16  1982,
Yakhouba Diawara,2007,2010,G-F,6-7,225,August 29  1982,Pepperdine University
Gorgui Dieng,2014,2016,C,6-11,241,January 18  1990,University of Louisville
Spencer Dinwiddie,2015,2016,G,6-6,200,April 6  1993,University of Colorado
Ike Diogu,2006,2012,F,6-8,250,September 11  1983,Arizona State University
Joey Dorsey,2009,2015,F,6-8,268,December 16  1983,University of Memphis
Toney Douglas,2010,2016,G,6-2,195,March 16  1986,Florida State University
Chris Douglas-Roberts,2009,2015,G,6-7,200,January 8  1987,University of Memphis
Goran Dragic,2009,2016,G,6-3,190,May 6  1986,
Zoran Dragic,2015,2015,G-F,6-5,200,June 22  1989,
Larry Drew,2015,2015,G,6-2,180,March 5  1990,University of California  Los Angeles
Andre Drummond,2013,2016,C,6-11,279,August 10  1993,University of Connecticut
Jared Dudley,2008,2016,F-G,6-7,225,July 10  1985,Boston College
Tim Duncan,1998,2016,F-C,6-11,250,April 25  1976,Wake Forest University
Mike Dunleavy,2003,2016,F-G,6-9,230,September 15  1980,Duke University
Kevin Durant,2008,2016,F,6-9,240,September 29  1988,University of Texas at Austin
Cleanthony Early,2015,2016,F,6-8,210,April 17  1991,Wichita State University
Devin Ebanks,2011,2013,F,6-9,215,October 28  1989,West Virginia University
Jarell Eddie,2016,2016,G-F,6-7,218,October 30  1991,Virginia Polytechnic Institute and State University
Shane Edwards,2014,2014,F,6-7,220,May 31  1987,University of Arkansas at Little Rock
Wayne Ellington,2010,2016,G,6-4,200,October 29  1987,University of North Carolina
Monta Ellis,2006,2016,G,6-3,185,October 26  1985,
Melvin Ely,2003,2014,C,6-10,260,May 2  1978,California State University  Fresno
Kim English,2013,2013,G,6-6,200,September 24  1988,University of Missouri
James Ennis,2015,2016,F,6-7,210,July 1  1990,California State University  Long Beach
Tyler Ennis,2015,2016,G,6-3,194,August 24  1994,Syracuse University
Jeremy Evans,2011,2016,F,6-9,196,October 24  1987,Western Kentucky University
Reggie Evans,2003,2015,F,6-8,245,May 18  1980,University of Iowa
Tyreke Evans,2010,2016,G-F,6-6,220,September 19  1989,University of Memphis
Dante Exum,2015,2015,G,6-6,190,July 13  1995,
Festus Ezeli,2013,2016,C,6-11,255,October 21  1989,Vanderbilt University
Kenneth Faried,2012,2016,F,6-8,228,November 19  1989,Morehead State University
Jordan Farmar,2007,2015,G,6-2,180,November 30  1986,University of California  Los Angeles
Vitor Faverani,2014,2014,C,6-11,260,May 5  1988,
Derrick Favors,2011,2016,F-C,6-10,265,July 15  1991,Georgia Institute of Technology
Cristiano Felicio,2016,2016,F-C,6-10,275,July 7  1992,
Carrick Felix,2014,2014,G,6-6,201,August 17  1990,Arizona State University
Raymond Felton,2006,2016,G,6-1,205,June 26  1984,University of North Carolina
Kyrylo Fesenko,2008,2012,C,7-1,288,December 24  1986,
Landry Fields,2011,2015,F,6-7,210,June 27  1988,Stanford University
Gary Forbes,2011,2012,F,6-7,220,February 25  1985,University of Massachusetts Amherst
Evan Fournier,2013,2016,G-F,6-7,205,October 29  1992,
Randy Foye,2007,2016,G,6-4,213,September 24  1983,Villanova University
Jamaal Franklin,2014,2015,G,6-5,191,July 21  1991,San Diego State University
Tim Frazier,2015,2016,G,6-1,170,November 1  1990,Pennsylvania State University
Jimmer Fredette,2012,2016,G,6-2,195,February 25  1989,Brigham Young University
Joel Freeland,2013,2015,F-C,6-10,250,February 7  1987,
Channing Frye,2006,2016,F-C,6-11,255,May 17  1983,University of Arizona
Dan Gadzuric,2003,2012,C,6-11,240,February 2  1978,University of California  Los Angeles
Danilo Gallinari,2009,2016,F,6-10,225,August 8  1988,
Langston Galloway,2015,2016,G,6-2,200,December 9  1991,Saint Joseph's University
Francisco Garcia,2006,2015,F-G,6-7,195,December 31  1981,University of Louisville
Kevin Garnett,1996,2016,F,6-11,240,May 19  1976,
Diante Garrett,2013,2014,G,6-4,190,November 3  1988,Iowa State University
Marc Gasol,2009,2016,C,7-1,255,January 29  1985,
Pau Gasol,2002,2016,F-C,7-0,250,July 6  1980,
Rudy Gay,2007,2016,F,6-8,230,August 17  1986,University of Connecticut
Alonzo Gee,2010,2016,G,6-6,225,May 29  1987,University of Alabama
Mickael Gelabale,2007,2013,F,6-7,215,May 22  1983,
Paul George,2011,2016,F,6-9,220,May 2  1990,California State University  Fresno
Taj Gibson,2010,2016,F,6-9,225,June 24  1985,University of Southern California
Manu Ginobili,2003,2016,G,6-6,205,July 28  1977,
Mickell Gladness,2012,2012,C,6-11,220,July 26  1986,Alabama A&M University
Rudy Gobert,2014,2016,C,7-1,245,June 26  1992,
Ryan Gomes,2006,2014,F,6-7,250,September 1  1982,Providence College
Drew Gooden,2003,2016,F,6-10,250,September 24  1981,University of Kansas
Archie Goodwin,2014,2016,G,6-5,200,August 17  1994,University of Kentucky
Aaron Gordon,2015,2016,F,6-9,220,September 16  1995,University of Arizona
Ben Gordon,2005,2015,G,6-3,200,April 4  1983,University of Connecticut
Drew Gordon,2015,2015,F,6-9,245,July 12  1990,University of New Mexico
Eric Gordon,2009,2016,G,6-4,215,December 25  1988,Indiana University
Marcin Gortat,2008,2016,C-F,6-11,240,February 17  1984,
Andrew Goudelock,2012,2013,G,6-3,200,December 7  1988,College of Charleston
Danny Granger,2006,2015,F,6-9,222,April 20  1983,University of New Mexico
Jerami Grant,2015,2016,F,6-8,210,March 12  1994,Syracuse University
Jerian Grant,2016,2016,G,6-4,195,October 9  1992,University of Notre Dame
Danny Green,2010,2016,G-F,6-6,215,June 22  1987,University of North Carolina
Draymond Green,2013,2016,F,6-7,230,March 4  1990,Michigan State University
Erick Green,2015,2016,G,6-4,185,May 9  1991,Virginia Polytechnic Institute and State University
Gerald Green,2006,2016,G-F,6-7,205,January 26  1986,
JaMychal Green,2015,2016,F,6-9,227,June 21  1990,University of Alabama
Jeff Green,2008,2016,F,6-9,235,August 28  1986,Georgetown University
Willie Green,2004,2015,G,6-4,200,July 28  1981,University of Detroit Mercy
Donte Greene,2009,2012,F,6-11,226,February 21  1988,Syracuse University
Blake Griffin,2011,2016,F,6-10,251,March 16  1989,University of Oklahoma
Jorge Gutierrez,2014,2015,G,6-3,191,December 27  1988,University of California
P.J. Hairston,2015,2016,G-F,6-6,230,December 24  1992,University of North Carolina
Jordan Hamilton,2012,2015,G-F,6-7,220,October 6  1990,University of Texas at Austin
Justin Hamilton,2014,2015,C,7-0,260,April 1  1990,Louisiana State University
Ben Hansbrough,2013,2013,G,6-3,203,December 23  1987,University of Notre Dame
Tyler Hansbrough,2010,2016,F,6-9,250,November 3  1985,University of North Carolina
Tim Hardaway,2014,2016,G,6-6,205,March 16  1992,University of Michigan
James Harden,2010,2016,G,6-5,220,August 26  1989,Arizona State University
Maurice Harkless,2013,2016,F-G,6-9,215,May 11  1993,St. John's University
Justin Harper,2012,2012,F,6-10,225,August 30  1989,University of Richmond
Montrezl Harrell,2016,2016,F,6-8,240,January 26  1994,University of Louisville
Josh Harrellson,2012,2014,C,6-10,275,February 12  1989,University of Kentucky
Devin Harris,2005,2016,G,6-3,192,February 27  1983,University of Wisconsin
Elias Harris,2014,2014,F,6-8,239,July 6  1989,Gonzaga University
Gary Harris,2015,2016,G,6-4,210,September 14  1994,Michigan State University
Joe Harris,2015,2016,G,6-6,219,September 7  1991,University of Virginia
Manny Harris,2011,2014,G,6-5,185,September 21  1989,University of Michigan
Mike Harris,2008,2014,F,6-6,240,June 15  1983,Rice University
Terrel Harris,2012,2013,G,6-5,190,August 10  1987,Oklahoma State University
Tobias Harris,2012,2016,F,6-9,235,July 15  1992,University of Tennessee
Aaron Harrison,2016,2016,G,6-6,210,October 28  1994,University of Kentucky
Udonis Haslem,2004,2016,F,6-8,235,June 9  1980,University of Florida
Spencer Hawes,2008,2016,C-F,7-1,245,April 28  1988,University of Washington
Chuck Hayes,2006,2016,F-C,6-6,240,June 11  1983,University of Kentucky
Gordon Hayward,2011,2016,F-G,6-8,226,March 23  1990,Butler University
Brendan Haywood,2002,2015,C,7-0,268,November 27  1979,University of North Carolina
Gerald Henderson,2010,2016,G,6-5,215,December 9  1987,Duke University
Xavier Henry,2011,2015,G,6-6,220,March 15  1991,University of Kansas
John Henson,2013,2016,F,6-11,229,December 28  1990,University of North Carolina
Mario Hezonja,2016,2016,F-G,6-8,215,February 25  1995,
Roy Hibbert,2009,2016,C,7-2,270,December 11  1986,Georgetown University
J.J. Hickson,2009,2016,F,6-9,242,September 4  1988,North Carolina State University
Nene Hilario,2003,2016,F-C,6-11,250,September 13  1982,
George Hill,2009,2016,G,6-3,188,May 4  1986,Indiana University-Purdue University Indianapolis
Jordan Hill,2010,2016,C-F,6-10,235,July 27  1987,University of Arizona
Solomon Hill,2014,2016,F,6-7,225,March 18  1991,University of Arizona
Darrun Hilliard,2016,2016,G,6-6,205,April 13  1993,Villanova University
Kirk Hinrich,2004,2016,G,6-4,190,January 2  1981,University of Kansas
Jrue Holiday,2010,2016,G,6-4,205,June 12  1990,University of California  Los Angeles
Justin Holiday,2013,2016,G-F,6-6,185,April 5  1989,University of Washington
Ryan Hollins,2007,2016,C,7-0,240,October 10  1984,University of California  Los Angeles
Rondae Hollis-Jefferson,2016,2016,F,6-7,220,January 3  1995,University of Arizona
Richaun Holmes,2016,2016,F,6-10,245,October 15  1993,Bowling Green State University
Rodney Hood,2015,2016,G-F,6-8,206,October 20  1992,Duke University
Scotty Hopson,2014,2014,G,6-7,204,August 8  1989,University of Tennessee
Al Horford,2008,2016,F-C,6-10,245,June 3  1986,University of Florida
Dwight Howard,2005,2016,C-F,6-11,265,December 8  1985,
Josh Howard,2004,2013,F-G,6-7,210,April 28  1980,Wake Forest University
Lester Hudson,2010,2015,G,6-3,190,August 7  1984,University of Tennessee at Martin
Marcelo Huertas,2016,2016,G,6-3,185,May 25  1983,
Robbie Hummel,2014,2015,F,6-8,215,March 8  1989,Purdue University
Kris Humphries,2005,2016,F,6-9,235,February 6  1985,University of Minnesota
R.J. Hunter,2016,2016,G,6-5,185,October 24  1993,Georgia State University
Serge Ibaka,2010,2016,F,6-10,245,September 18  1989,
Andre Iguodala,2005,2016,G-F,6-6,207,January 28  1984,University of Arizona
Didier Ilunga-Mbenga,2005,2011,C,7-0,245,December 30  1980,
Ersan Ilyasova,2007,2016,F,6-10,235,May 15  1987,
Joe Ingles,2015,2016,F-G,6-8,226,October 2  1987,
Damien Inglis,2016,2016,F,6-8,246,May 20  1995,
Kyrie Irving,2012,2016,G,6-3,193,March 23  1992,Duke University
Jarrett Jack,2006,2016,G,6-3,200,October 28  1983,Georgia Institute of Technology
Darnell Jackson,2009,2011,F,6-9,253,November 7  1985,University of Kansas
Reggie Jackson,2012,2016,G,6-3,208,April 16  1990,Boston College
Bernard James,2013,2015,C,6-10,240,February 7  1985,Florida State University
Damion James,2011,2014,G-F,6-7,225,October 7  1987,University of Texas at Austin
LeBron James,2004,2016,F-G,6-8,250,December 30  1984,
Mike James,2002,2014,G,6-2,188,June 23  1975,Duquesne University
Othyus Jeffers,2010,2014,G,6-5,200,August 5  1985,Robert Morris University (IL)
Al Jefferson,2005,2016,C-F,6-10,289,January 4  1985,
Cory Jefferson,2015,2016,F,6-9,218,December 26  1990,Baylor University
Richard Jefferson,2002,2016,F,6-7,233,June 21  1980,University of Arizona
Charles Jenkins,2012,2013,G,6-3,220,February 28  1989,Hofstra University
John Jenkins,2013,2016,G,6-4,215,March 6  1991,Vanderbilt University
Brandon Jennings,2010,2016,G,6-1,169,September 23  1989,
Jonas Jerebko,2010,2016,F,6-10,231,March 2  1987,
Grant Jerrett,2015,2015,F,6-10,235,July 8  1993,University of Arizona
Amir Johnson,2006,2016,F,6-9,240,May 1  1987,
Chris Johnson,2011,2013,C,6-11,210,July 15  1985,Louisiana State University
Chris Johnson,2013,2016,F-G,6-6,206,April 29  1990,University of Dayton
Ivan Johnson,2012,2013,F,6-8,230,April 10  1984,University of Oregon
James Johnson,2010,2016,F,6-9,250,February 20  1987,Wake Forest University
Joe Johnson,2002,2016,G-F,6-7,240,June 29  1981,University of Arkansas
Nick Johnson,2015,2015,G,6-3,202,December 22  1992,University of Arizona
Orlando Johnson,2013,2016,G,6-5,220,March 11  1989,University of California  Santa Barbara
Stanley Johnson,2016,2016,F,6-7,245,May 29  1996,University of Arizona
Trey Johnson,2009,2012,G,6-5,218,August 30  1984,Jackson State University
Tyler Johnson,2015,2016,G,6-4,186,May 7  1992,California State University  Fresno
Wesley Johnson,2011,2016,F-G,6-7,215,July 11  1987,Syracuse University
Darius Johnson-Odom,2013,2014,G,6-2,215,September 28  1989,Marquette University
Nikola Jokic,2016,2016,C,6-10,250,February 19  1995,
Dahntay Jones,2004,2015,G-F,6-6,225,December 27  1980,Duke University
DeQuan Jones,2013,2013,F,6-8,221,June 20  1990,University of Miami
James Jones,2004,2016,F-G,6-8,218,October 4  1980,University of Miami
Kevin Jones,2013,2013,F,6-8,251,August 25  1989,West Virginia University
Perry Jones,2013,2015,F,6-11,235,September 24  1991,Baylor University
Solomon Jones,2007,2014,F,6-10,230,July 16  1984,University of South Florida
Terrence Jones,2013,2016,F,6-9,252,January 9  1992,University of Kentucky
Tyus Jones,2016,2016,G,6-2,195,May 10  1996,Duke University
DeAndre Jordan,2009,2016,C,6-11,265,July 21  1988,Texas A&M University
Jerome Jordan,2012,2015,C,7-0,253,September 29  1986,University of Tulsa
Cory Joseph,2012,2016,G,6-3,190,August 20  1991,University of Texas at Austin
Kris Joseph,2013,2013,F,6-7,210,December 17  1988,Syracuse University
Chris Kaman,2004,2016,C,7-0,265,April 28  1982,Central Michigan University
Frank Kaminsky,2016,2016,F-C,7-0,242,April 4  1993,University of Wisconsin
Enes Kanter,2012,2016,C,6-11,245,May 20  1992,
Jason Kapono,2004,2012,F,6-8,213,February 4  1981,University of California  Los Angeles
Sergey Karasev,2014,2016,G-F,6-7,208,October 26  1993,
Sasha Kaun,2016,2016,C,6-11,260,May 8  1985,University of Kansas
Ryan Kelly,2014,2016,F,6-11,230,April 9  1991,Duke University
D.J. Kennedy,2012,2012,F,6-6,215,November 5  1989,St. John's University
Michael Kidd-Gilchrist,2013,2016,F,6-7,232,September 26  1993,University of Kentucky
Sean Kilpatrick,2015,2016,G,6-4,210,January 6  1990,University of Cincinnati
Alex Kirk,2015,2015,C,7-0,245,November 14  1991,University of New Mexico
Linas Kleiza,2006,2013,F,6-8,245,January 3  1985,University of Missouri
Brandon Knight,2012,2016,G,6-3,189,December 2  1991,University of Kentucky
Kyle Korver,2004,2016,G-F,6-7,212,March 17  1981,Creighton University
Kosta Koufos,2009,2016,C,7-0,265,February 24  1989,Ohio State University
Viacheslav Kravtsov,2013,2014,C,7-0,260,August 25  1987,
Ognjen Kuzmic,2014,2015,C,7-1,251,May 16  1990,
Doron Lamb,2013,2014,G,6-4,210,November 6  1991,University of Kentucky
Jeremy Lamb,2013,2016,G-F,6-5,185,May 30  1992,University of Connecticut
Carl Landry,2008,2016,F,6-9,248,September 19  1983,Purdue University
Marcus Landry,2010,2010,F,6-7,230,November 1  1985,University of Wisconsin
Shane Larkin,2014,2016,G,5-11,175,October 2  1992,University of Miami
Joffrey Lauvergne,2015,2016,F,6-11,220,September 30  1991,
Zach LaVine,2015,2016,G,6-5,189,March 10  1995,University of California  Los Angeles
Gani Lawal,2011,2011,F,6-9,234,November 7  1988,Georgia Institute of Technology
Ty Lawson,2010,2016,G,5-11,195,November 3  1987,University of North Carolina
Ricky Ledo,2014,2015,G,6-7,195,September 10  1992,
Courtney Lee,2009,2016,G,6-5,200,October 3  1985,Western Kentucky University
David Lee,2006,2016,F,6-9,245,April 29  1983,University of Florida
Malcolm Lee,2012,2015,G,6-5,200,May 22  1990,University of California  Los Angeles
Alex Len,2014,2016,C,7-1,260,June 16  1993,University of Maryland
Kawhi Leonard,2012,2016,F,6-7,230,June 29  1991,San Diego State University
